"Browser Version","Market Share Perc. (June 2017 - Mar 2018)"
"Chrome for Android",51.6
"Chrome 63.0",4.1
"Android 0",3.04
"Chrome 61.0",3.02
"Chrome 60.0",2.72
"Chrome 59.0",2.42
"Chrome 62.0",2.05
"Chrome 64.0",1.92
"Chrome 58.0",1.81
"Firefox 57.0",1.77
"Firefox 54.0",1.51
"Samsung Internet 5.4",1.5
"Safari iPhone",1.31
"Firefox 56.0",1.13
"IE 11.0",1.02
"Firefox 55.0",0.99
"Firefox 58.0",0.97
"IEMobile 11.0",0.96
"Samsung Internet 6.2",0.93
"Chrome 49.0",0.92
"Firefox 52.0",0.89
"Samsung Internet 3.3",0.77
"Chrome 65.0",0.67
"Edge 15",0.61
"Firefox 53.0",0.56
"Opera 49.0",0.54
"Samsung Internet 3.5",0.53
"Opera 48.0",0.46
"Edge 14",0.43
"Opera 46.0",0.41
"Opera 47.0",0.4
"Opera 50.0",0.37
"Samsung Internet 4.0",0.34
"Safari 11.0",0.33
"Opera 45.0",0.32
"Firefox 59.0",0.29
"Edge 16",0.29
"Opera 51.0",0.28
"Safari iPad",0.25
"Safari 10.1",0.24
"Samsung Internet 2.0",0.23
"Samsung Internet 6.4",0.22
"Samsung Internet 5.2",0.22
"Chrome 57.0",0.2
"Opera 36.0",0.14
"Samsung Internet 2.1",0.14
"Chrome 56.0",0.11
"Opera Mini 4.5",0.1
"Chrome for iPhone",0.09
"Chrome 55.0",0.09
"Opera 42.7",0.08
"Edge 13",0.08
"Chrome 57.1",0.08
"Chrome 46.0",0.08
"Firefox 47.0",0.07
"Opera Mini 8.0",0.07
"Firefox 48.0",0.07
"Chrome 29.0",0.07
"Firefox 41.0",0.07
"Opera Mini 7.1",0.07
"Chrome 51.0",0.07
"IEMobile 0",0.06
"Opera 32.0",0.06
"Opera 43.0",0.06
"Opera 12.1",0.06
"Firefox 50.0",0.06
"Nokia 0",0.06
"IE 8.0",0.06
"Safari 10.0",0.05
"Safari 9.1",0.05
"Samsung Internet 5.0",0.05
"Opera 44.1",0.05
"Firefox 51.0",0.05
"Opera 28.0",0.05
"Chrome 54.0",0.05
"IE 10.0",0.05
"Opera Mini 20.0",0.04
"Firefox 45.0",0.04
"Opera Mini 4.4",0.04
"Opera Mini 4.2",0.04
"Firefox 43.0",0.04
"Opera 30.0",0.03
"Chrome 43.0",0.03
"Chrome 34.0",0.03
"Chrome 53.0",0.03
"Opera 26.0",0.03
"IEMobile 10.0",0.03
"Chrome iPad",0.03
"Chrome 38.0",0.03
"Samsung Internet 4.2",0.03
"Firefox 49.0",0.03
"Chrome 39.0",0.03
"IE 9.0",0.03
"Opera 31.0",0.03
"IEMobile 9.0",0.03
"Maxthon 4.4",0.03
"Edge 17",0.03
"BlackBerry 0",0.02
"Opera 29.0",0.02
"Chrome 47.0",0.02
"Opera 42.0",0.02
"Firefox 38.0",0.02
"Chrome 50.0",0.02
"Chrome 31.0",0.02
"Chrome 58.8",0.02
"Edge 12",0.02
"Chromium 25.0",0.02
"Chrome 52.0",0.02
"Chrome 40.0",0.02
"Opera 37.0",0.02
"Opera 27.0",0.02
"Maxthon 4.9",0.02
"Opera 20.0",0.02
"Opera Mini 4.1",0.02
"Maxthon 5.1",0.02
"Dolfin 3.0",0.02
"Safari 9.0",0.02
"Chrome 48.0",0.02
"Chrome 11.0",0.01
"Samsung Internet 1.1",0.01
"Samsung Internet 1.0",0.01
"Chrome 36.0",0.01
"Firefox 40.0",0.01
"Chrome 58.1",0.01
"Opera Mini 32.0",0.01
"Firefox 44.0",0.01
"Opera 45.1",0.01
"Opera Mini 28.0",0.01
"Vivaldi 1.91",0.01
"Dolfin 2.0",0.01
"Firefox 46.0",0.01
"Chrome 37.0",0.01
"Opera Mini 7.6",0.01
"Chrome 57.2",0.01
"Firefox 31.0",0.01
"UC Browser 10.8",0.01
"Opera 42.9",0.01
"Chrome 35.0",0.01
"UC Browser 11.4",0.01
"Other",0.84
